,fname,text,n_tokens
10,cards two of cups," Two of Cups Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in Two of Cups Commitment · Friendship · Love · Partnership · Relationship Two of Cups Tarot card Two of Cups's Meaning The single resounding theme associated with the II of Cups is partnership. What sort of partnership is less clear, but you are in the past, present, or future, part of a powerful one. This partnership will involve absolute trust and commanding respect. It may, of course, be a particularly emotional love affair, but it could just as easily be a deep and abiding friendship. The exact nature may be revealed by the rest of the spread, or it may not. It will be a source of happiness for you, though, a presence in your life you can count on at every turn, and whose well-being will be as important to you as your own. Past You have recently made a friendship or partnership that will bring you great rewards in the future. This connection will be meaningful for years to come. Present A loving union or close partnership will begin soon. Through commitment and dedication, this relationship will bring you great rewards, even if they are distant. Future Be on the lookout for a partner that will facilitate the achievement of your goals. It should be someone like you who can understand your ambitions and priorities. Yes / No Key Interpretation The Two of Cups shouts about love, positive relationships, and togetherness. It suggests a life full of close bonds, good friendships, and mutual love and respect therein. This card encompasses all happy, positive, loving feelings. The answer it is providing to you is yes. Key Dates, Timing, and Astrology. Cancer Key dates: June 21 to July 1 Free Tarot Reading ",387
11,cards four of wands," Four of Wands Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in Four of Wands Celebrations and happiness · Completion · Harmony · New beginnings · Pleasure Four of Wands Tarot card Four of Wands's Meaning Peace and security follow in the wake of the Four of Wands, usually in the smaller aspects of your life. Do not let the limited scope bring you to underestimate the joy that simple successes can bring, however: This is a card of good endings and fresh starts. Its presence should be welcome if you are beginning a new relationship -- or a new phase of one, such as marriage or engagement -- and is especially good for those about to move residences. Past Your consistent efforts have resulted in reward and satisfaction. The drive to create or build something has been developing in your subconscious. Present Accept the support of friends and loved ones, as you cannot be strong all the time. You are on track to completing something meaningful, so do not forget that you are not alone. Future By believing in yourself and applying positive energy to your decisions, you will achieve prosperity. The foundation of your future will be laid on the good deeds of your present. Yes / No Key Interpretation The Four of Wands represents pleasurable and harmonious new beginnings. It stands for successfully completing something in your life and brings with it feelings of happiness, balance, and forward progression toward good things to come. The answer you are seeking is yes. Key Dates, Timing, and Astrology. Aries Key dates: April 11 to April 20 Free Tarot Reading ",353
12,cards king of swords," King of Swords Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in King of Swords A Mature, authoritative man · Assertive · Authority · Government / Legal · Leadership King of Swords Tarot card King of Swords's Meaning The King of Swords represents the professional aspects of authority. Often associated with those in legal or business careers, he most likely represents someone who will aid you in one of these fields. This person may be assertive, or even seek to dominate you in their confidence that they know how best to aid you. While they may be friendly, their primary motivation is unlikely to be emotional. Past Your strength lies in your intellect. Looking ahead and taking authority into account will lead you to turn your collection of good ideas into reality. Present A figure of authority may help you set your plans in motion. Future There is opposition to your ultimate goals. Guile and your superior intellect will lead you past this destructive barrier. You will find fulfillment in organizing those around you as a leader. Yes / No Key Interpretation The King of Swords is an assertive, professional, decision maker with high intellect and a knack for leadership. He represents big decisions to come and a need to take control and set boundaries while making firm commitments to your goals. This card provides no clear answer, maybe at best. Key Dates, Timing, and Astrology. Capricorn & Aquarius Key dates: January 10 to February 8 Free Tarot Reading ",327
13,cards the hierophant," The Heirophant (Pope) Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in The Hierophant (Pope) Approval · Conformity · Consent · Good advice · Marriage or Union The Hierophant (Pope) Tarot card The Hierophant (Pope)'s Meaning Depending on your own nature, the Hierophant can mean very different things. At its root, it represents doctrine, but doctrine can come in the form of teaching and guidance or rigid authority. Where it appears in your spread is also important, as it is most often indicative of your own approach to the moral, religious, and social conventions of the world. Considered wisely, it helps show the path towards fulfillment. Past There is value in an ambition from your past. Look to a strength that you may have neglected. Present The opportunity for work or study under a superior is approaching. If the others around you are capable of being wrong, so are you. Future Look to the support of a solid organization or structured principles to achieve success. Your actions should be motivated beyond selfish reasons, or there will be little reward for them. Yes / No Key Interpretation The Hierophant is a symbol of education and tradition. This card suggests seeking spiritual guidance or advice in your life. Also indicative of conformity and religious approval, this card has neither a positive or negative connotation. The only answer is maybe. Key Dates, Timing, and Astrology. Taurus Key dates: April 21 to May 20 Free Tarot Reading ",347
14,cards nine of pentacles," Nine of Pentacles Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in Nine of Pentacles Abundance · Financial security · Opulence · Prosperous · Wealth Nine of Pentacles Tarot card Nine of Pentacles's Meaning The IX of Pentacles represents significant financial reward, but one borne of hard work and careful planning on your part; a just reward for prudent actions. It may also indicate that a time of hardship for you is ending and a counter-balancing time of pleasant living is at hand. On a less positive note, it also indicates a solitary individual, so you may still be searching for companionship, and lack people to with whom share your gains. Past The pleasure you have experienced was earned by your achievements. Though the rewards of a recent project are not yet obvious, you will receive abundantly for your work. Present The solution you have been seeking will arrive and relieve you of the stress associated with your problem. Future There are new challenges waiting for you to dispel your feelings of dissatisfaction. The void you are experiencing will not be remedied by the challenges, but the rewards will help you be content. Yes / No Key Interpretation The Nine of Pentacles stands for wealth and financial security. It could mean finally being rewarded for all of your efforts in business or important projects in your life. The presence of this card could mean financial and/or personal independence for you. The answer you seek is more than likely yes. Key Dates, Timing, and Astrology. Virgo Key dates: September 2 to September 11 Free Tarot Reading ",352
15,cards the moon," The Moon Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in The Moon Be careful · Caution · Confusion · Delusion · Risk The Moon Tarot card The Moon's Meaning Something in your life is not what it seems. Perhaps a misunderstanding on your part, or a truth you cannot admit to yourself. It may also indicate something important being kept from you by another. This may be a source of worry or depression in your life, and the Moon is a strong indicator that you must rely on your intuition to see through the subterfuge. Past Your understanding of a past event may be distorted by your current perceptions. Reflect on your history and make sure the pieces fit together. By eliminating uncertainty, you will find more peace. Present There is a challenge approaching, taking the form of either a new creative project or a conflict in a relationship. Your history will reveal the best course of action. Future Your imagination will bring you success if your thoughts are coupled with practical action. The struggle to reach your potential may bring about many conflicts in your life, but the results will be beautiful. Yes / No Key Interpretation The Moon is an illusive and confusing card. It suggests the presence of risks, secrets, and some level of mental confusion. It would warn you to take caution and be careful in whatever endeavor you are pursuing in your life. The answer you are seeking is no. Key Dates, Timing, and Astrology. Pisces Key dates: February 19 to March 20 Free Tarot Reading ",343
16,cards five of cups," Five of Cups Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in Five of Cups Avoidance · Detachment · Loss · New hope · Regret Five of Cups Tarot card Five of Cups's Meaning This card is a dark omen. Like the rest of its suit, it is bound your emotions, and it brings with it a warning of loss and disappointment. Expect a setback in your life, almost certainly emotional. While this may be emotional, it may be a project or goal you are particularly invested in, emotionally. In certain positions it might also refer to events of the past which continue to cause regret or heartache. The only solution is optimism; this too shall pass. Past The urge to try something new is a result of a disappointment or dissatisfaction you have experienced. Your current sadness is an expression of these failed expectations. Present Explore any alternatives paths that you discover. But if you avoiding the truth, it will be difficult to create any sustainable satisfaction. Future An error on your part will lead you to a regretful situation. Be ready to repair the damage you have caused and more importantly, to forgive yourself. Yes / No Key Interpretation The Five of Cups is a regretful card full of sadness, loss, and despondency. It could be a sign of not appreciating what you have in life or possibly avoidance of something yet to come. The disappointment and discontent associated with this card provide an answer of no to your question. Key Dates, Timing, and Astrology. Scorpio Key dates: October 23 to November 2 Free Tarot Reading ",355
17,cards ace of pentacles," Ace of Pentacles Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in Ace of Pentacles Emotional stability · Financial gain · Luck · Recognition · Success Ace of Pentacles Tarot card Ace of Pentacles's Meaning Aces always represent a new beginning in some form, and the Ace of Pentacles suggests a strongly positive one for you. Your life is about to enter a very productive period -- or at least a period which will see your work rewarded in good measure to the level of work you are willing to perform. This period will also see most of your relationship on stable ground, and, despite the hard work you may be doing, you will be very content with your situation. Past Your time has been well spent and you will eventually achieve the success you desire. The projects you have begun will pay off. Present Reassuring news will come to you. It may help you realize that you are on the appropriate path to receive the recognition and material rewards you deserve. Future You are destined for a major gain. Whether this be financial, emotional, or personal, there are spiritual blessings waiting for you. Yes / No Key Interpretation The Ace of Pentacles represents prosperity, financial gain, and successful endeavours ending in promotion. It brings with it good luck as well as emotional stability. This card is highly suggestive of a positive future and being able to attain your goals. The answer herein is yes. Key Dates, Timing, and Astrology. Capricorn, Taurus, Virgo All Earth signs significant Free Tarot Reading ",347
18,cards the devil," The Devil Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in The Devil Anger · Jealousy and resentment · Self-delusion · Selfishness · Violence The Devil Tarot card The Devil's Meaning The Devil is in the business of entrapment. It signifies a situation from which there is no escape, or a road leading to one. Forewarning may let you avoid the trap, or it may not. What sort of trap, and how you might avoid it, depends on where the Devil appears in your spread, and what other cards surround it. This card does not foretell doom, only the need for prudence. Past One of the choices you've made was wrong for you. Negative forces are slowing your development. Present There is an event beyond your influence that will change your life. It is uncertain whether it is good or bad, but avoid extravagant behavior and be true to yourself. Future The time is coming that you will have to find beauty within yourself and stop the projections you are casting on the world. Find the courage to change your life. The course of your life is beyond your knowing, but this awareness will defeat your self-delusions. Yes / No Key Interpretation The Devil is about all things negative. Anger, violence, temptation, fear, and doubt are just some of the terrors associated with this card. It suggests feeling trapped perhaps in an unhealthy relationship, an addiction, or a lie. Without a doubt, this card is telling you no. Key Dates, Timing, and Astrology. Capricorn Key dates: December 22 to January 19 Free Tarot Reading ",365
19,cards seven of wands," Seven of Wands Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in Seven of Wands Coping and Resistance · Courage · Long-term successes · Perseverance · Strength Seven of Wands Tarot card Seven of Wands's Meaning You almost certainly have great reserves of courage, and the perseverance to see yourself through difficult times. You may not be aware you possess these qualities, but you will find yourself needing them soon. Expect conflicts, possibly small, but more likely significant. It is not certain where they will arise, but there is no doubt you possess the ability to overcome your adversaries. Past Despite slow progress, your determination and sustained efforts will lead you steadily forward. Do not give up. Present There is a great conflict approaching, but do not fear. Through courage, you will overcome this hurdle and experience a major change in your life as a result. Future Continue to believe in yourself. The odds may be against you but you have the power to beat them. The courage to fight on and accept challenges will lead you to a bright future. Yes / No Key Interpretation The Seven of Wands represents long-term success due to the strength it takes to overcome obstacles and being able to take on calculated risks. Using courage to stand up for yourself and what is best is what this card is all about. The answer you are seeking is yes. Key Dates, Timing, and Astrology. Leo Key dates: August 12 to August 22 Free Tarot Reading ",335
20,cards queen of cups," Queen of Cups Tarot Car Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in Queen of Cups Intuitive · Mature, Sensitive Woman · Spouse · Virtuous · Wise Queen of Cups Tarot card Queen of Cups's Meaning Sensitivity and an affectionate nature are traditionally associated with the Queen of Cups, who is the emotionally open balance to the King. Despite her open nature, you will still find her influence to be largely passive. Particularly for men, her presence is a reminder to stay in touch with the emotional aspects of their character. You should take her presence a gentle hand seeking to show you the power of your own inner aspects, whose power may be obscured by their quiet nature. Past You have achieved self-awareness by balancing all aspects of your personality. The success you desire is not here yet, but will arrive if you continue to deepen your inner knowledge. Present Possibilities to your life will be revealed by the influence of a powerful woman. She may challenge or inspire you, but whatever she does will lead you to valuable insight. Future Seek assistance or advice from your loved ones, looking especially to the feminine wisdom around you. Your journey will be determined by your emotional considerations, regardless of your professional success. Yes / No Key Interpretation The Queen of Cups is a sensitive, quite, and virtuous woman who represents seeking and channelling a transformation within. She suggests a person who is a good listener and a loving counselor. Like her counterpart, the King of Cups, her presence is neither positive nor negative, and she brings an unclear answer to your question. Key Dates, Timing, and Astrology. Gemini & Cancer Key dates: June 11 to July 11 Free Tarot Reading ",379
21,cards nine of cups," Nine of Cups Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in Nine of Cups Complete · Fulfilled · Generous · Pleasure · Satisfaction Nine of Cups Tarot card Nine of Cups's Meaning This card is a very powerful positive indicator for you! It represents a lasting or powerful contentment in your life. While nothing is permanent, somewhere along your life's path you can expect to be truly happy. It is heavily tied to creative endeavour and good wishes for the future. Past The source of true happiness is your soul attaining peaceful balance. The efforts you have spent will bring your reward. Stay strong and keep working. Present Your emotional and material well-being are at hand. Look to your friends for advice and support, but recognize that you will find fulfillment. Future The goal you have set for yourself is down the road a ways. Stay true to your desires and you will reach the destination you seek. Balance your heart and mind to find a true calling. Yes / No Key Interpretation The Nine of Cups shows feelings of joy, satisfaction, pleasure, and overall contentment. Its presence is indicative of a bright future brimming with good times, bliss, and a period of your wishes all being granted. The answer you are looking for is yes. Key Dates, Timing, and Astrology. Pisces Key dates: March 1 to March 10 Free Tarot Reading ",316
22,cards two of pentacles," Two of Pentacles Tarot Card Meaning Free Tarot Reading Menu Tarot Card Meanings Tarot Cards Love Tarot Daily Tarot Reading Tarot Horoscope Biorhythms I Ching Runes Spirit Guides Tarot App Live Tarot Reading Log in Two of Pentacles Balance · Fluctuating Wealth · Juggling · Prudence · Transfer or Exchange Two of Pentacles Tarot card Two of Pentacles's Meaning The II is, as always, bound up in the forces of change, and of balance. Like its brothers, the II of Pentacles can mean good or ill, but it as a strong indicator that the status quo will be disrupted. There will be challenges in your future, but your fate is largely in your own hands in the sense that the final outcome depends own how you respond to these challenges. The suit of this card suggests your best outcome is one that can be reached through prudence and careful planning. Past You have been confronted by the difficulty of beginning something new. In order to succeed, you must learn to balance your old practices with your new. Present A change for the better will arrive via communicated information. You will receive some prudent counsel on the best course through your fluctuating states. Future Determining your most valuable strengths can help you create opportunities for yourself. There is a road out of your ambivalence if you think to find it. Yes / No Key Interpretation The Two of Pentacles shows movement, balance, and growth through change. It suggests possibilities of fluctuating wealth that will likely require some sort of juggling act and will bring with it both ups and downs. The workload will be heavy, and there is no clear answer provided by the presence of this card. Key Dates, Timing, and Astrology. Capricorn Key dates: December 22 to December 30 Free Tarot Reading ",372
